SPECIES,CT.POS,ORIENT,GAIT,DIST,LOIT,TRIGGER,AIR
BADGER,SNIG,A,T,1,1,0,7.28
BADGER,FF,L,T,3,0,0,7.28
BADGER,SNIG,P,T,1,0,1,5.55
BADGER,AP,L,T,1,0,1,5.55
BADGER,SF,L,T,7,0,0,5.55
BADGER,FF,L,W,3,1,1,5.55
BADGER,FF,L,W,3,0,1,5.55
BADGER,AP,L,T,1,0,1,5.55
BADGER,SF,L,T,7,0,0,5.55
BADGER,SNIG,A,T,1,0,1,5.55
FOX,FF,L,W,4,1,1,5.55
FOX,FF,L,T,3,0,1,5.55
FOX,SF,L,T,5,0,0,5.55
FOX,AP,L,T,2,0,0,5.55
FOX,SNIG,A,T,1,0,0,5.55
BADGER,FF,L,W,3,1,1,3.89
BADGER,AP,L,W,1,1,1,3.89
BADGER,SNIG,A,W,1,0,0,3.89
BADGER,SF,L,W,7,0,0,3.89
BADGER,SNIG,P,R,1,0,0,3.89
BADGER,AP,L,R,1,0,0,3.89
BADGER,SF,L,R,7,0,0,3.89
BADGER,FF,L,R,4,0,1,3.89
BADGER,FF,L,T,3,0,0,3.47
BADGER,SF,L,W,2,0,1,3.47
BADGER,AP,L,W,6,0,0,3.47
FOX,SNIG,P,W,1,0,1,3.47
FOX,AP,L,W,1,0,1,3.47
FOX,SF,L,W,7,0,0,3.47
FOX,FF,L,W,3,0,1,3.47
FOX,SNIG,P,W,1,0,0,3.47
FOX,AP,L,W,2,0,0,3.47
FOX,SF,L,W,7,0,0,3.47
FOX,FF,L,W,3,0,1,3.47
FOX,FF,L,W,5,0,1,3.47
FOX,AP,L,T,1,0,0,3.47
FOX,SNIG,A,T,1,0,0,3.47
FOX,SF,L,T,7,0,0,3.47
FOX,SF,L,W,9,0,0,3.47
FOX,FF,L,W,3,0,0,3.47
FOX,SNIG,L,W,1,0,0,6.37
FOX,AP,L,W,3,0,0,6.37
FOX,SF,A,W,1,0,0,6.37
FOX,AP,L,T,1,0,0,6.37
FOX,SNIG,A,T,1,0,0,6.37
FOX,SF,L,T,7,0,1,6.37
BADGER,AP,L,T,1,1,1,6.06
BADGER,SNIG,P,T,1,1,1,6.06
BADGER,SF,L,T,7,1,0,6.06
BADGER,FF,L,W,3,1,1,6.06
BADGER,FF,L,T,3,0,1,6.06
BADGER,SF,L,T,7,0,0,6.06
BADGER,AP,L,T,1,0,1,6.06
BADGER,SNIG,A,T,1,0,1,6.06
FOX,SF,L,W,1,1,1,6.78
FOX,AP,L,W,7,1,0,6.78
FOX,FF,L,W,1,0,1,6.78
FOX,SF,L,W,1,0,1,6.78
FOX,AP,L,W,7,0,0,6.78
FOX,FF,L,W,1,1,1,6.78
FOX,SF,L,W,1,0,1,6.78
FOX,AP,L,W,7,0,0,6.78
BADGER,SNIG,P,T,1,0,1,6.78
BADGER,AP,L,T,1,0,1,6.78
BADGER,SF,L,T,7,0,0,6.78
BADGER,FF,L,W,3,0,1,6.78
FOX,SF,L,W,6,0,1,6.47
FOX,AP,L,W,2,0,0,6.47
FOX,SNIG,P,W,3,0,0,6.47
FOX,FF,L,W,3,0,1,6.47
FOX,FF,L,T,3,0,1,6.47
FOX,AP,L,T,1,0,1,6.47
FOX,SNIG,A,T,1,0,1,6.47
FOX,SF,L,T,7,0,0,6.47
FOX,SNIG,A,W,1,0,1,6.37
FOX,AP,L,W,1,0,1,6.37
FOX,SF,L,W,7,0,0,6.37
FOX,FF,L,W,1,0,1,6.37
FOX,SNIG,L,W,1,0,0,6.37
FOX,AP,A,W,1,0,0,6.37
FOX,SF,L,W,7,0,0,6.37
FOX,FF,L,W,6,0,0,6.37
FOX,FF,L,W,3,0,1,6.37
FOX,AP,L,W,1,0,1,6.37
FOX,SNIG,A,W,1,0,1,6.37
FOX,SF,L,W,8,0,0,6.37
FOX,SF,L,W,9,0,0,6.37
FOX,SF,L,W,1,0,1,6.37
FOX,AP,L,W,6,0,0,6.37
FOX,FF,L,W,4,0,1,6.37
FOX,AP,L,W,1,0,1,8.18
FOX,SNIG,P,W,1,0,0,8.18
FOX,SF,L,W,7,0,0,8.18
FOX,FF,L,W,3,0,1,8.18
FOX,FF,L,W,5,0,1,7.38
FOX,AP,L,W,1,0,1,7.38
FOX,SNIG,A,W,1,0,1,7.38
FOX,SF,L,W,7,0,0,7.38
FOX,SF,A,W,1,1,1,7.38
FOX,SNIG,L,W,1,0,1,7.38
FOX,AP,P,W,1,0,1,7.38
FOX,FF,L,W,3,0,1,7.18
FOX,AP,L,T,1,0,0,7.18
FOX,SNIG,A,T,1,0,0,7.18
FOX,SF,L,T,7,0,1,7.18
FOX,FF,A,W,1,0,1,7.08
FOX,AP,L,W,3,0,0,7.08
FOX,SF,L,W,4,0,0,7.08
FOX,FF,L,W,3,0,1,6.67
FOX,AP,L,W,1,0,1,6.67
FOX,SNIG,A,W,1,0,1,6.67
FOX,SF,L,W,7,0,0,6.67
FOX,FF,A,W,1,0,0,7.18
BADGER,FF,L,W,2,0,1,7.58
BADGER,SNIG,L,W,5,0,0,7.58
BADGER,SNIG,P,T,1,0,1,7.58
BADGER,AP,L,T,1,0,1,7.58
BADGER,SF,L,T,7,0,1,7.58
BADGER,FF,L,T,3,0,1,7.58
FOX,FF,L,T,4,0,0,6.67
FOX,SNIG,P,T,1,0,1,6.67
FOX,AP,L,T,1,0,0,6.67
FOX,SF,L,T,7,0,0,6.67
FOX,FF,L,W,3,0,1,6.67
FOX,SF,L,W,6,0,0,6.37
FOX,AP,L,W,2,0,0,6.37
FOX,SNIG,L,W,3,0,0,6.37
FOX,SNIG,P,W,1,0,1,6.37
FOX,AP,L,W,1,0,1,6.37
FOX,SF,L,W,7,0,0,6.37
FOX,FF,L,W,3,0,1,6.37
BADGER,AP,L,T,1,0,1,5.66
BADGER,SNIG,P,T,1,0,1,5.66
BADGER,SF,L,T,7,0,0,5.66
BADGER,FF,L,W,3,1,1,5.66
FOX,SNIG,P,T,4,0,0,4.93
FOX,AP,L,T,2,0,0,4.93
FOX,SF,L,T,6,0,0,4.93
FOX,FF,L,W,3,1,0,4.93
FOX,SNIG,P,T,4,0,0,5.04
FOX,AP,L,T,2,0,0,5.04
FOX,SF,L,T,6,0,0,5.04
FOX,FF,L,W,3,0,1,5.04
FOX,FF,A,W,1,0,0,9.67
FOX,SNIG,P,W,1,0,0,9.57
FOX,AP,L,W,1,0,1,9.57
FOX,SF,L,W,7,0,0,9.57
FOX,FF,P,W,5,0,0,9.57
FOX,SF,L,W,2,0,1,9.57
FOX,AP,A,W,1,0,0,9.57
FOX,SF,L,W,1,0,1,9.57
FOX,AP,L,W,7,0,0,9.57
FOX,FF,L,W,1,0,1,9.57
FOX,FF,A,W,1,0,0,9.67
FOX,SF,L,T,6,0,0,9.67
FOX,SF,P,W,1,0,0,10.26
FOX,AP,L,W,2,0,0,10.26
FOX,FF,A,W,1,0,1,9.97
FOX,AP,L,W,1,0,1,9.97
FOX,SNIG,A,W,1,0,0,9.97
FOX,SF,L,W,7,0,0,9.97
BADGER,SNIG,P,T,1,0,0,9.97
BADGER,AP,L,T,1,0,1,9.97
BADGER,SF,L,T,7,0,1,9.97
BADGER,FF,L,T,3,1,1,9.97
BADGER,FF,L,W,3,0,1,9.87
BADGER,SF,L,T,7,0,1,9.87
BADGER,AP,L,T,1,0,1,9.87
BADGER,SNIG,A,T,1,0,1,9.87
FOX,FF,L,W,3,0,0,9.87
FOX,SF,L,W,7,1,0,9.87
FOX,SNIG,A,W,1,0,0,9.87
FOX,AP,L,W,2,0,1,9.87
BADGER,FF,L,R,3,0,1,4.21
BADGER,SF,L,T,7,0,0,4.21
BADGER,SNIG,A,T,1,0,1,4.21
BADGER,AP,L,T,2,0,1,4.21
BADGER,FF,L,W,3,1,1,8.88
BADGER,SF,L,T,7,0,0,8.88
BADGER,SNIG,A,T,1,1,1,8.88
BADGER,AP,L,T,2,0,0,8.88
FOX,FF,A,T,1,0,0,9.18
FOX,SF,L,T,5,0,0,9.18
FOX,AP,L,T,3,0,0,9.18
FOX,SNIG,A,T,1,0,0,9.18
BADGER,FF,L,T,3,0,0,9.18
BADGER,SF,L,T,7,0,0,9.18
BADGER,SNIG,L,T,5,0,1,9.18
BADGER,AP,L,T,2,0,0,9.18
BADGER,FF,L,T,3,0,1,9.08
BADGER,SF,L,T,7,1,0,9.08
BADGER,AP,L,T,2,0,1,9.08
BADGER,SNIG,A,T,1,0,1,9.08
BADGER,FF,L,T,1,0,1,8.58
BADGER,SF,L,T,1,0,0,8.58
BADGER,AP,L,T,2,0,1,8.58
BADGER,SNIG,L,T,2,0,1,8.58
BADGER,FF,L,T,3,0,1,8.58
BADGER,SF,L,T,7,0,0,8.58
BADGER,AP,L,T,2,0,0,8.58
FOX,FF,A,W,1,1,1,8.28
FOX,SF,L,W,5,1,1,8.28
FOX,AP,L,W,3,0,0,8.28
FOX,SNIG,A,W,1,0,0,8.28
FOX,FF,L,W,3,0,0,7.48
FOX,SF,L,W,7,0,0,7.48
FOX,AP,L,W,2,0,1,7.48
FOX,SNIG,A,W,1,0,1,7.48
BADGER,FF,L,W,3,1,1,5.24
BADGER,SF,L,T,7,0,0,5.24
BADGER,AP,L,T,2,0,1,5.24
BADGER,SNIG,A,T,1,0,1,5.24
FOX,SF,L,W,5,0,0,5.24
FOX,AP,L,W,3,0,0,5.24
FOX,FF,L,W,2,0,1,5.24
BADGER,SF,L,T,7,0,0,5.45
BADGER,SNIG,P,T,2,0,1,5.45
BADGER,AP,L,T,2,0,1,5.45
BADGER,FF,L,W,3,0,1,5.45
BADGER,SNIG,P,T,2,0,1,6.47
BADGER,AP,L,T,2,0,1,6.47
BADGER,SF,L,T,7,0,0,6.47
BADGER,FF,L,W,2,0,1,6.47
FOX,AP,L,W,2,0,1,6.47
FOX,SF,L,W,7,0,0,6.47
FOX,SNIG,P,W,2,0,1,6.47
FOX,AP,L,T,2,0,1,4.83
FOX,SF,L,T,7,0,1,4.83
FOX,AP,L,W,2,1,1,4.83
FOX,SF,L,W,7,1,1,4.83
FOX,FF,L,W,3,0,0,4.83
BADGER,FF,L,W,3,0,1,4.1
BADGER,AP,L,T,2,0,0,4.1
BADGER,SF,L,T,7,0,1,4.1
BADGER,SF,L,T,7,0,0,3.16
BADGER,AP,L,T,2,0,0,3.16
BADGER,FF,L,W,3,0,1,3.16
FOX,SF,L,W,7,0,1,1.66
FOX,AP,L,W,3,0,0,1.66
BADGER,AP,L,T,2,0,0,2.62
BADGER,SF,L,T,7,0,1,2.62
FOX,SF,L,T,7,0,1,1.76
FOX,AP,L,T,2,0,1,1.76
FOX,FF,L,W,3,0,0,1.76
FOX,FF,L,R,1,0,0,5.04
FOX,SF,L,R,1,0,1,5.04
FOX,AP,L,R,0,0,0,5.04
FOX,FF,L,W,3,0,0,3.68
FOX,AP,L,W,2,0,1,3.68
FOX,SF,L,W,7,0,0,3.68
FOX,SF,L,W,7,0,0,4.73
FOX,AP,L,W,2,0,1,4.73
FOX,FF,L,W,5,0,0,4.73
FOX,SF,L,T,7,0,0,4.93
FOX,AP,L,T,2,0,0,4.93
FOX,FF,L,W,1,0,0,4.93
