SPECIES,CT.POS,ORIENT,GAIT,DIST,RAIN,LOIT,TRIGGER,CAPTURE,AIR
FOX,FF,L,T,3,NO,0,1,0,5.24
FOX,SF,L,T,5,NO,0,0,NA,5.24
FOX,AP,L,T,1,NO,0,1,0,5.24
FOX,SNIG,A,T,1,NO,0,1,0,5.24
FOX,FF,L,W,3,NO,0,1,0,5.24
FOX,SF,L,W,5,NO,0,0,NA,5.24
FOX,AP,L,W,1,NO,0,1,0,5.24
FOX,SNIG,A,W,1,NO,0,1,0,5.24
FOX,SF,L,W,1,NO,0,1,1,5.45
FOX,FF,L,W,3,NO,0,1,0,5.45
FOX,AP,L,W,4,NO,0,0,NA,5.45
FOX,SNIG,P,W,1,NO,0,0,NA,5.45
FOX,AP,L,W,2,NO,0,0,NA,5.45
FOX,SF,L,W,5,NO,0,0,NA,5.45
FOX,FF,A,W,1,NO,0,1,1,5.45
FOX,FF,L,W,1,NO,0,1,1,5.45
FOX,SF,L,W,1,NO,0,1,1,5.45
FOX,AP,L,W,5,NO,0,0,NA,5.45
FOX,SF,L,W,5,NO,0,0,NA,5.45
FOX,FF,L,W,3,NO,0,1,0,5.45
FOX,AP,L,W,1,NO,0,0,NA,5.45
FOX,SNIG,P,W,1,NO,0,0,NA,5.45
FOX,AP,L,W,1,NO,0,1,0,5.45
FOX,SNIG,A,W,1,NO,0,1,0,5.45
FOX,SNIG,L,W,1,YES,0,1,1,5.45
FOX,AP,L,W,1,YES,0,1,0,5.45
FOX,FF,L,W,3,NO,0,1,1,5.35
FOX,SF,L,W,5,NO,0,1,0,5.35
FOX,AP,L,W,1,NO,0,0,NA,5.35
FOX,SNIG,A,W,1,NO,0,0,NA,5.35
FOX,FF,L,W,3,NO,0,1,0,5.45
FOX,SF,L,W,5,NO,0,0,NA,5.45
FOX,AP,L,W,1,NO,0,1,0,5.45
FOX,SNIG,A,W,1,NO,0,1,0,5.45
FOX,FF,L,W,3,NO,1,0,NA,6.98
FOX,SF,L,W,5,NO,0,0,NA,6.98
FOX,AP,L,W,1,NO,0,0,NA,6.98
FOX,SNIG,A,W,1,NO,0,0,NA,6.98
BADGER,FF,L,T,3,NO,0,1,1,4.21
BADGER,SF,L,T,5,NO,0,1,0,4.21
BADGER,AP,L,T,1,NO,0,0,NA,4.21
BADGER,SNIG,A,T,1,NO,0,0,NA,4.21
FOX,SNIG,P,W,1,NO,0,0,NA,3.58
FOX,AP,L,W,1,NO,0,0,NA,3.58
FOX,SF,L,W,5,NO,0,0,NA,3.58
FOX,FF,L,T,3,NO,0,0,NA,3.58
FOX,AP,L,T,3,NO,0,0,NA,3.58
FOX,SNIG,A,T,1,NO,0,0,NA,3.58
FOX,SF,L,T,3,NO,0,0,NA,3.58
BADGER,FF,L,T,3,NO,0,1,1,2.94
BADGER,SF,L,T,5,NO,0,0,NA,2.94
BADGER,AP,L,T,1,NO,0,1,0,2.94
BADGER,SNIG,A,T,1,NO,0,1,1,2.94
BADGER,SF,A,T,1,NO,0,0,NA,2.94
BADGER,SNIG,P,W,3,NO,0,0,NA,2.94
BADGER,FF,L,W,3,NO,0,1,1,2.94
BADGER,AP,L,W,1,NO,1,1,1,2.73
BADGER,SNIG,P,W,1,NO,1,1,1,2.73
BADGER,SF,L,W,5,NO,1,0,NA,2.73
BADGER,FF,L,W,3,NO,1,1,1,2.73
BADGER,FF,L,T,3,NO,0,1,0,2.52
BADGER,SF,L,T,3,NO,0,0,NA,2.52
BADGER,SNIG,A,T,1,NO,0,1,0,2.52
BADGER,AP,L,T,1,NO,0,1,0,2.52
FOX,FF,L,T,3,NO,0,1,0,2.2
FOX,SF,L,T,5,NO,0,1,1,2.2
FOX,AP,L,T,1,NO,0,0,NA,2.2
FOX,SNIG,A,T,1,NO,0,0,NA,2.2
BADGER,SNIG,P,T,1,NO,0,1,0,2.2
BADGER,AP,L,T,1,NO,0,0,NA,2.2
BADGER,SF,L,T,5,NO,0,0,NA,2.2
BADGER,FF,L,T,3,NO,0,1,1,2.2
BADGER,FF,L,T,3,NO,0,1,0,2.2
BADGER,SF,L,T,5,NO,0,0,NA,2.2
BADGER,AP,L,T,1,NO,0,1,0,2.2
BADGER,SNIG,A,T,1,NO,0,1,0,2.2
BADGER,AP,L,W,5,NO,0,0,NA,2.2
BADGER,SF,L,W,1,NO,0,0,NA,2.2
BADGER,FF,L,W,2,NO,0,1,0,2.2
FOX,SF,A,W,1,NO,0,0,NA,1.33
FOX,FF,L,W,3,NO,0,0,NA,1.33
BADGER,FF,L,T,3,NO,1,1,1,1
BADGER,SF,L,T,5,NO,0,0,NA,1
BADGER,AP,L,W,1,NO,0,1,0,1
BADGER,SNIG,A,T,1,NO,0,1,0,1
FOX,SNIG,P,T,1,NO,0,1,1,0.89
FOX,AP,L,T,1,NO,0,1,0,0.89
FOX,SF,L,W,5,NO,0,0,NA,0.89
FOX,FF,L,W,4,NO,0,1,0,0.89
FOX,FF,L,W,3,NO,0,1,0,5.04
FOX,SF,L,W,4,NO,0,1,0,5.04
FOX,AP,L,W,2,NO,0,0,NA,5.04
FOX,SNIG,A,W,1,NO,0,0,NA,5.04
FOX,FF,L,W,5,NO,0,1,1,3.58
FOX,SF,L,W,4,NO,0,1,0,3.58
FOX,AP,L,W,2,NO,0,0,NA,3.58
FOX,SNIG,A,W,1,NO,0,0,NA,3.58
BADGER,SNIG,P,T,1,NO,0,1,1,3.58
BADGER,AP,L,T,1,NO,0,1,0,3.58
BADGER,SF,L,T,5,NO,0,0,NA,3.58
BADGER,FF,L,T,3,NO,0,1,0,3.58
BADGER,SNIG,P,T,1,NO,0,0,NA,2.41
BADGER,AP,L,T,1,NO,0,1,0,2.41
BADGER,SF,L,T,5,NO,0,1,0,2.41
BADGER,FF,L,T,3,NO,0,1,0,2.41
BADGER,FF,L,T,3,NO,1,1,1,1.87
BADGER,SF,L,W,5,NO,1,0,NA,1.87
BADGER,AP,L,W,1,NO,1,1,1,1.87
BADGER,SNIG,A,W,1,NO,1,1,1,1.87
FOX,FF,L,T,3,NO,0,0,NA,0.89
FOX,SF,L,T,5,NO,0,0,NA,0.89
BADGER,FF,L,W,3,NO,0,1,1,0.89
BADGER,SF,L,W,5,NO,0,0,NA,0.89
BADGER,AP,L,W,2,NO,0,1,0,0.89
BADGER,SNIG,A,W,1,NO,0,1,0,0.89
FOX,FF,L,T,3,NO,0,1,0,1.11
FOX,SF,L,T,5,NO,0,0,NA,1.11
FOX,AP,L,T,1,NO,0,1,0,1.11
FOX,SNIG,A,T,1,NO,0,1,0,1.11
FOX,FF,L,W,3,NO,0,1,0,1.11
FOX,SF,L,T,7,NO,0,0,NA,1.11
FOX,AP,L,T,1,NO,0,0,NA,1.11
FOX,SNIG,A,T,1,NO,0,0,NA,1.11
FOX,FF,L,T,3,NO,0,1,0,4.73
FOX,SF,L,T,7,NO,0,0,NA,4.73
FOX,AP,L,T,1,NO,0,0,NA,4.73
FOX,SNIG,A,T,1,NO,0,1,0,4.73
FOX,SNIG,P,W,1,NO,0,1,1,4.73
FOX,AP,L,W,1,NO,0,0,NA,4.73
FOX,SF,L,W,7,NO,0,0,NA,4.73
FOX,FF,L,W,3,NO,0,1,0,4.73
BADGER,SNIG,P,W,1,NO,0,1,1,3.58
BADGER,AP,L,W,1,NO,0,1,1,3.58
BADGER,SF,L,W,7,NO,1,0,NA,3.58
BADGER,FF,L,T,3,NO,0,1,1,3.58
BADGER,SNIG,P,R,1,NO,0,1,1,3.16
BADGER,AP,L,R,1,NO,0,1,0,3.16
BADGER,SF,L,R,7,NO,0,0,NA,3.16
BADGER,FF,L,R,3,NO,0,0,NA,3.16
BADGER,SF,L,R,7,NO,0,0,NA,3.16
BADGER,FF,L,R,3,NO,0,1,0,3.16
BADGER,AP,L,R,1,NO,0,0,NA,3.16
BADGER,SNIG,A,R,1,NO,0,1,0,3.16
BADGER,SNIG,P,W,1,NO,0,1,1,3.16
BADGER,AP,L,W,1,NO,0,1,0,3.16
BADGER,SF,L,W,7,NO,0,1,1,3.16
BADGER,FF,L,W,3,NO,0,1,1,3.16
BADGER,FF,L,W,1,NO,0,1,0,3.16
BADGER,SF,L,W,1,NO,0,1,1,3.16
BADGER,AP,L,W,7,NO,0,0,NA,3.16
FOX,SNIG,A,R,1,NO,0,0,NA,1.33
FOX,AP,L,R,1,NO,0,0,NA,1.33
FOX,SF,L,R,7,NO,0,0,NA,1.33
FOX,FF,L,R,3,NO,0,0,NA,1.33
FOX,FF,L,W,3,NO,0,1,0,1.33
FOX,SF,L,W,6,NO,0,0,NA,1.33
FOX,AP,L,W,1,NO,0,0,NA,1.33
FOX,SNIG,A,W,1,NO,0,0,NA,1.33
FOX,SNIG,L,W,2,YES,0,0,NA,5.04
FOX,AP,L,W,1,YES,0,0,NA,5.04
FOX,SF,L,W,6,YES,0,1,1,5.04
FOX,FF,L,W,6,YES,0,0,NA,5.04
FOX,SF,L,W,5,YES,0,0,NA,5.04
FOX,FF,L,W,2,YES,0,1,1,5.04
FOX,AP,A,W,1,YES,0,0,NA,5.04
FOX,SNIG,L,W,4,YES,0,1,0,5.04
FOX,SF,L,W,7,YES,0,1,1,3.68
FOX,SNIG,A,W,1,YES,0,0,NA,3.68
FOX,AP,L,W,1,YES,0,0,NA,3.68
FOX,FF,L,W,3,YES,0,1,0,3.68
BADGER,SNIG,P,W,1,YES,0,1,1,3.68
BADGER,AP,L,W,1,YES,0,1,0,3.68
BADGER,SF,L,W,7,YES,1,0,NA,3.68
BADGER,FF,L,W,3,YES,1,1,1,3.68
FOX,FF,L,W,3,NA,1,0,NA,3.89
FOX,FF,L,W,3,NA,0,0,NA,3.89
FOX,FF,A,W,1,YES,0,0,NA,4
FOX,SF,L,W,6,YES,0,0,NA,4
FOX,AP,L,W,1,YES,0,0,NA,4
FOX,SNIG,A,W,1,YES,0,0,NA,4
FOX,FF,A,W,1,YES,1,0,NA,4
FOX,SF,L,W,6,YES,1,0,NA,4
FOX,AP,L,W,1,YES,0,0,NA,4
FOX,SNIG,A,W,1,YES,0,0,NA,4
FOX,FF,A,W,1,YES,0,1,1,5.04
FOX,SF,L,W,6,YES,0,1,1,5.04
FOX,AP,L,W,2,YES,0,0,NA,5.04
FOX,SNIG,A,W,1,YES,0,0,NA,5.04
BADGER,FF,L,T,3,YES,0,0,NA,4.83
BADGER,SF,L,T,7,YES,0,0,NA,4.83
BADGER,SNIG,A,T,1,YES,0,0,NA,4.83
FOX,FF,L,W,3,NO,1,0,NA,5.35
FOX,AP,L,T,1,NO,0,1,0,5.35
FOX,SF,L,T,7,NO,0,0,NA,5.35
FOX,SNIG,A,T,1,NO,1,1,0,5.35
FOX,SF,L,T,7,NO,0,0,NA,5.35
FOX,FF,A,W,1,NO,0,1,1,5.35
FOX,AP,L,T,3,NO,0,0,NA,5.35
FOX,SNIG,A,T,1,NO,0,0,NA,5.35
FOX,SF,L,T,4,NO,0,0,NA,5.35
FOX,SF,L,W,6,NO,0,0,NA,3.47
FOX,AP,L,W,2,NO,0,0,NA,3.47
FOX,SNIG,P,W,1,NO,0,0,NA,3.47
FOX,FF,L,W,3,NO,0,1,1,3.47
BADGER,FF,L,W,3,NO,0,1,1,4.1
BADGER,AP,A,W,1,NO,0,0,NA,4.1
BADGER,SF,L,W,7,NO,0,0,NA,4.1
FOX,FF,L,W,3,NO,0,1,1,4.52
FOX,SF,L,W,5,NO,1,1,1,4.52
FOX,AP,L,W,4,NO,0,0,NA,4.52
FOX,SF,L,W,4,N0,1,1,1,4.52
FOX,AP,L,W,3,N0,1,0,NA,4.52
FOX,SNIG,P,W,4,N0,0,0,NA,4.52
FOX,FF,L,W,3,N0,0,1,1,4.52
BADGER,FF,L,W,3,NA,0,0,NA,4.31
FOX,SNIG,L,W,1,NO,0,1,1,4.83
